utility_type,mix_param,dc_gr_sum,goods_num,scale_param,sb_gr_sum,max,min,familiar_share_gr_sum
random-cav,0.0,0.8563657875736183,3,1,0.848154151569459,1.0,0.6989266832576286,0.8188826632604339
cav-vex,0.0,0.8385078066568415,3,1,0.8410509948832725,1.0,0.704126637462973,0.8722293965384093
random-cav,0.8,0.7969941837533793,3,1,0.7236811524830427,1.0,0.6794787300438414,0.754249002484838
cav-vex,0.8,0.9475661291251939,3,1,0.9466810678881309,1.0,0.8955468308692466,0.9098087647628149
random-cav,0.0,0.7431971671348699,3,5,0.6444158211092997,1.0,0.2347634085551871,0.6173817042775935
cav-vex,0.0,0.521188692815772,3,5,0.5903475874458874,1.0,0.2347634085551871,0.6173817042775935
random-cav,0.8,0.6893364141334601,3,5,0.5902061484507851,1.0,0.18041229690157032,0.5902061484507851
cav-vex,0.8,0.5118296384563528,3,5,0.5902061484507851,1.0,0.18041229690157032,0.5902061484507851
random-cav,0.0,0.8115816680556187,4,1,0.7031913734690401,1.0,0.5811356090085358,0.6231633361112372
cav-vex,0.0,0.960293416975245,4,1,0.9451185804771723,1.0,0.8719433544467355,0.9350022976290716
random-cav,0.8,0.9118468828186188,4,1,0.838582556077808,1.0,0.8160672908736021,0.838582556077808
cav-vex,0.8,0.9867790536109986,4,1,0.9738528368697009,1.0,0.9599535255909979,0.9738528368697009
random-cav,0.0,0.7134317691832374,4,5,0.5999072465585525,1.0,0.19981449311710495,0.5999072465585525
cav-vex,0.0,0.5138946355431394,4,5,0.6115014517033105,1.0,0.19981449311710495,0.5999072465585525
random-cav,0.8,0.6611885508290017,4,5,0.5921694529502288,1.0,0.1843389059004576,0.5921694529502288
cav-vex,0.8,0.5516189814516894,4,5,0.5921694529502288,1.0,0.1843389059004576,0.5921694529502288
random-cav,0.0,0.8792926236642447,5,1,0.8675716444682217,1.0,0.8276394107464807,0.8953631029007108
cav-vex,0.0,0.9463670219724929,5,1,0.9585372430327395,1.0,0.8226445373078441,0.9296805931698332
random-cav,0.8,0.87281433968652,5,1,0.8331306520892772,1.0,0.8080418757562539,0.8332294264309947
cav-vex,0.8,0.9755013177686785,5,1,0.9684408778862237,1.0,0.9482653742971231,0.9683260886469817
random-cav,0.0,0.6672911567048416,5,5,0.5972571456261813,1.0,0.18276939367695644,0.5913846968384782
cav-vex,0.0,0.5288830403276653,5,5,0.5855122480507753,1.0,0.18276939367695644,0.5913846968384782
random-cav,0.8,0.662240734391101,5,5,0.6043768768325735,1.0,0.2055269057892385,0.6027634528946192
cav-vex,0.8,0.5642478738648193,5,5,0.6043768768325735,1.0,0.2055269057892385,0.6027634528946192
random-cav,0.0,0.8145182590840038,6,1,0.6879036982894455,1.0,0.5198790020311143,0.6290365181680074
cav-vex,0.0,0.818112745097412,6,1,0.7898601684657154,1.0,0.7026186489928166,0.8521289646567272
random-cav,0.8,0.907116405056882,6,1,0.8769623903293435,1.0,0.8262913513658201,0.8564203741184537
cav-vex,0.8,0.973386811047021,6,1,0.9628763083940711,1.0,0.9553699463432456,0.9660154043768249
random-cav,0.0,0.7446395312413439,6,5,0.6340090116120125,1.0,0.13584251300339692,0.5659578277342556
cav-vex,0.0,0.4127492447895204,6,5,0.5020772623291511,1.0,0.1363780501773288,0.5681890250886644
random-cav,0.8,0.6800434733221694,6,5,0.6043918191053137,1.0,0.20878363821062726,0.6043918191053137
cav-vex,0.8,0.5381371050130143,6,5,0.6043918191053136,1.0,0.20878363821062731,0.6043918191053136
random-cav,0.0,0.8001152187323878,7,1,0.7033866550871205,1.0,0.4558036487840237,0.6699097826464893
cav-vex,0.0,0.6809612039806732,7,1,0.7307354818235208,1.0,0.5030412126642456,0.7578028518898315
random-cav,0.8,0.9003468584560255,7,1,0.872000644374378,1.0,0.8462679619062146,0.872000644374378
cav-vex,0.8,0.9786962892500497,7,1,0.97133593941681,1.0,0.968991116740701,0.97133593941681
random-cav,0.0,0.6279585903904786,7,5,0.585642568814703,1.0,0.14502518463688477,0.5725125923184423
cav-vex,0.0,0.5279189678090411,7,5,0.5598309842897093,1.0,0.14502518463688477,0.5725125923184424
random-cav,0.8,0.6717831054675165,7,5,0.586830810831877,1.0,0.16204152085795104,0.5810207604289755
cav-vex,0.8,0.510902447763293,7,5,0.5754728841998014,1.0,0.16204152085795104,0.5810207604289755
random-cav,0.0,0.7914163266092022,8,1,0.7729352304195285,1.0,0.6070349149658979,0.7729352304195285
cav-vex,0.0,0.8760926576971089,8,1,0.8408974551937359,1.0,0.6465827989089701,0.823291399454485
random-cav,0.8,0.819233664456769,8,1,0.6942132789954679,1.0,0.6357960749351963,0.6788419063365609
cav-vex,0.8,0.9439770874738084,8,1,0.9598910302873127,1.0,0.8678820389472979,0.926640979742278
random-cav,0.0,0.7158341706214336,8,5,0.6223775422492807,1.0,0.22814434061499417,0.6134226779327698
cav-vex,0.0,0.5436562825972552,8,5,0.6101682453093956,1.0,0.22844108209678687,0.6142205410483934
random-cav,0.8,0.7015234302550227,8,5,0.6378526126926022,1.0,0.20930339122714398,0.5916688312600732
cav-vex,0.8,0.5135854244751734,8,5,0.5702028532881287,1.0,0.21488298450659218,0.6074414922532961
random-cav,0.0,0.8201902735382085,9,1,0.7113096573741917,1.0,0.6470652921688189,0.6742311265431552
cav-vex,0.0,0.9716314391496177,9,1,0.953884166493412,1.0,0.911922072224718,0.9502074265408553
random-cav,0.8,0.8674648523014845,9,1,0.7535411191556391,1.0,0.7482453366276679,0.7526445415590032
cav-vex,0.8,0.9667426703913423,9,1,0.9500402111657875,1.0,0.9439068337845864,0.9494564034172168
random-cav,0.0,0.7123723349834766,9,5,0.6198570989957441,1.0,0.22448210443925823,0.6122410522196291
cav-vex,0.0,0.5656109516775956,9,5,0.626002113861566,1.0,0.22448210443925823,0.6122410522196291
random-cav,0.8,0.6941761564555295,9,5,0.6349173953568807,1.0,0.20095288885106866,0.5972315643081122
cav-vex,0.8,0.5136859126714788,9,5,0.574640283034667,1.0,0.20226554373367062,0.6011327718668352
