max_utility,utility_type,dc2_total_surplus,scale_param,mix_param,dc1_total_surplus,max,sb_total_surplus,goods_num,min
0.758193144051675,random,1.0,1.0,0.0,1.0,1.0,0.7845431525425773,3,0.6933184630331444
1.0,vex,1.0000000000000002,1.0,0.0,1.0000000000000002,1.0,1.0,3,0.3181706717019566
0.6264626020651451,cav,1.0,1.0,0.0,1.0,1.0,1.0,3,0.5728594248300776
1.0,random,1.0,1.0,0.1,1.0,1.0,1.0,3,0.7304912564238519
1.0,vex,1.0,1.0,0.1,1.0,1.0,1.0,3,0.6511690257214241
0.7856879199918191,cav,1.0,1.0,0.1,1.0,1.0,0.7856879199918191,3,0.7259277173903461
1.0,random,1.0,1.0,0.5,1.0,1.0,1.0,3,0.7484342548244093
1.0,vex,1.0,1.0,0.5,1.0,1.0,1.0,3,0.5277510127886474
0.7526102935673888,cav,1.0,1.0,0.5,1.0,1.0,0.9842829830676485,3,0.644580551097962
1.0,random,1.0,1.0,0.8,1.0,1.0,1.0,3,0.9746166594147881
1.0,vex,1.0,1.0,0.8,1.0,1.0,1.0,3,0.9496510314805915
0.9664950680731816,cav,1.0,1.0,0.8,1.0,1.0,0.9664950680731816,3,0.9513379702434197
1.0,random,1.0,1.5,0.0,1.0,1.0,1.0,3,0.44135887929269835
1.0,vex,1.0,1.5,0.0,1.0,1.0,1.0,3,0.2860674135879676
0.8655824349831904,cav,0.9999999999999999,1.5,0.0,0.9999999999999999,1.0,0.8655824349831904,3,0.3820324934396258
0.8103561832232219,random,1.0,1.5,0.1,1.0,1.0,0.8103561832232219,3,0.7325572270564366
1.0,vex,1.0,1.5,0.1,1.0,1.0,1.0,3,0.45088748420994357
0.6881807387030654,cav,1.0,1.5,0.1,1.0,1.0,0.6881807387030654,3,0.6221113432525002
1.0,random,0.9788840035396997,1.5,0.5,0.9788840035396997,1.0,1.0,3,0.57231699120678
1.0,vex,1.0,1.5,0.5,1.0,1.0,1.0,3,0.47733902930621896
0.9132603895189753,cav,1.0,1.5,0.5,1.0,1.0,0.9132603895189753,3,0.5226744383178318
1.0,random,1.0,1.5,0.8,1.0,1.0,1.0,3,0.5501622956320771
1.0,vex,1.0,1.5,0.8,1.0,1.0,1.0,3,0.5205312947405305
0.8770668146495348,cav,0.9999999999999999,1.5,0.8,0.9999999999999999,1.0,0.8770668146495348,3,0.5794739099539404
1.0,random,0.9821706777008692,2.0,0.0,0.9821706777008692,1.0,1.0,3,0.3684296302165082
1.0,vex,0.9999999999999999,2.0,0.0,0.9999999999999999,1.0,1.0,3,0.3051388747166002
0.9404765298931318,cav,1.0000000000000002,2.0,0.0,1.0000000000000002,1.0,0.9404765298931318,3,0.34649942013583135
1.0,random,1.0,2.0,0.1,1.0,1.0,1.0,3,0.5729483056733526
1.0,vex,1.0,2.0,0.1,1.0,1.0,1.0,3,0.47741592662496296
0.8333820222474784,cav,1.0,2.0,0.1,1.0,1.0,0.8333820222474784,3,0.564487828136387
1.0,random,0.8730568755910193,2.0,0.5,0.8730568755910193,1.0,1.0,3,0.4414418411304591
1.0,vex,1.0000000000000002,2.0,0.5,1.0000000000000002,1.0,1.0,3,0.441441841130459
1.0,cav,0.9114769791617912,2.0,0.5,0.9114769791617912,1.0,1.0,3,0.44144184113045903
1.0,random,0.9909477228849451,2.0,0.8,0.9909477228849451,1.0,1.0,3,0.4947073059308555
1.0,vex,1.0000000000000002,2.0,0.8,1.0000000000000002,1.0,1.0,3,0.4947073059308555
1.0,cav,0.9965178385489308,2.0,0.8,0.9965178385489308,1.0,1.0,3,0.4947073059308555
1.0,random,0.8445194643065264,5.0,0.0,0.8445194643065264,1.0,1.0,3,0.204000633075475
1.0,vex,1.0,5.0,0.0,1.0,1.0,1.0,3,0.204000633075475
1.0,cav,0.8455521255110737,5.0,0.0,0.8455521255110737,1.0,1.0,3,0.20400063307547497
1.0,random,1.0,5.0,0.1,1.0,1.0,1.0,3,0.1367689784041464
1.0,vex,1.0,5.0,0.1,1.0,1.0,1.0,3,0.1367689784041464
1.0,cav,0.8474189761073601,5.0,0.1,0.8474189761073601,1.0,1.0,3,0.1367689784041464
1.0,random,0.7856046070289812,5.0,0.5,0.7856046070289812,1.0,1.0,3,0.2416800337328805
1.0,vex,0.9999999999999999,5.0,0.5,0.9999999999999999,1.0,1.0,3,0.2416800337328805
1.0,cav,0.7958600344004876,5.0,0.5,0.7958600344004876,1.0,1.0,3,0.2416800337328805
1.0,random,1.0000000000000002,5.0,0.8,1.0000000000000002,1.0,1.0,3,0.21238929020015054
1.0,vex,1.0000000000000002,5.0,0.8,1.0000000000000002,1.0,1.0,3,0.21238929020015054
1.0,cav,0.7530720934003852,5.0,0.8,0.7530720934003852,1.0,1.0,3,0.2123892902001506
0.966560615757582,random,0.9999999999999999,1.0,0.0,0.9999999999999999,1.0,0.966560615757582,5,0.5106093907200151
1.0,vex,1.0,1.0,0.0,1.0,1.0,1.0000000000000002,5,0.2875783341013265
0.8059990620783763,cav,0.9999999999999998,1.0,0.0,0.9999999999999998,1.0,0.9961215260628021,5,0.4257888054813545
